"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2220-04_1_S17","","Stop 04 1 S17","20.983117","105.877207","","","0","","","","0","",""
"2220-04_1_S18","","Stop 04 1 S18","20.981467","105.881373","","","0","","","","0","",""
"2220-04_1_S19","","Stop 04 1 S19","20.980367","105.88554","","","0","","","","0","",""
"2220-04_1_S20","","Stop 04 1 S20","20.976951","105.88594","","","0","","","","0","",""
"2220-04_1_S21","","Stop 04 1 S21","20.972468","105.880423","","","0","","","","0","",""
"2220-04_1_S22","","Stop 04 1 S22","20.966034","105.874757","","","0","","","","0","",""
"2220-04_1_S23","","Stop 04 1 S23","20.964684","105.86654","","","0","","","","0","",""
"2220-04_1_S24","","Stop 04 1 S24","20.965501","105.855357","","","0","","","","0","",""
"2220-04_1_S25","","Stop 04 1 S25","20.966268","105.844474","","","0","","","","0","",""
"2220-04_1_S28","","Stop 04 1 S28","20.965068","105.842058","","","0","","","","0","",""
"2220-04_2_S2","","Stop 04 2 S2","20.965703","105.850336","","","0","","","","0","",""
"2220-04_2_S3","","Stop 04 2 S3","20.964492","105.858054","","","0","","","","0","",""
"2220-04_2_S4","","Stop 04 2 S4","20.963901","105.863674","","","0","","","","0","",""
"2220-04_2_S5","","Stop 04 2 S5","20.965851","105.87554","","","0","","","","0","",""
"2220-04_2_S6","","Stop 04 2 S6","20.972934","105.88159","","","0","","","","0","",""
"2220-04_2_S7","","Stop 04 2 S7","20.980267","105.886656","","","0","","","","0","",""
"2220-04_2_S8","","Stop 04 2 S8","20.981384","105.88169","","","0","","","","0","",""
"2220-04_2_S9","","Stop 04 2 S9","20.983051","105.87749","","","0","","","","0","",""
"2220-04_2_S10","","Stop 04 2 S10","20.984217","105.87439","","","0","","","","0","",""
"2220-04_2_S11","","Stop 04 2 S11","20.984984","105.872523","","","0","","","","0","",""
"2220-04_2_S12","","Stop 04 2 S12","20.987334","105.868057","","","0","","","","0","",""
"2220-04_2_S13","","Stop 04 2 S13","20.989084","105.86589","","","0","","","","0","",""
"2220-04_2_S14","","Stop 04 2 S14","20.99435","105.86264","","","0","","","","0","",""
"2220-04_2_S15","","Stop 04 2 S15","20.9977","105.861724","","","0","","","","0","",""
"2220-04_2_S16","","Stop 04 2 S16","21.00225","105.861307","","","0","","","","0","",""
"2220-04_2_S17","","Stop 04 2 S17","21.005667","105.860924","","","0","","","","0","",""
"2220-04_2_S18","","Stop 04 2 S18","21.012617","105.858541","","","0","","","","0","",""
"2220-04_2_S19","","Stop 04 2 S19","21.015783","105.85654","","","0","","","","0","",""
"2220-04_2_S20","","Stop 04 2 S20","21.019033","105.855107","","","0","","","","0","",""
"2220-04_2_S22","","Stop 04 2 S22","21.026983","105.856057","","","0","","","","0","",""
"2220-05_1_S10","","Stop 05 1 S10","20.985767","105.813758","","","0","","","","0","",""
"2220-05_1_S11","","Stop 05 1 S11","20.9916","105.813275","","","0","","","","0","",""
"2220-05_1_S16","","Stop 05 1 S16","21.003117","105.799625","","","0","","","","0","",""
"2220-05_1_S17","","Stop 05 1 S17","21.00695","105.796608","","","0","","","","0","",""
"2220-05_1_S18","","Stop 05 1 S18","21.010953","105.793188","","","0","","","","0","",""
"2220-05_1_S19","","Stop 05 1 S19","21.014033","105.794925","","","0","","","","0","",""
"2220-05_1_S22","","Stop 05 1 S22","21.025551","105.788824","","","0","","","","0","",""
"2220-05_1_S23","","Stop 05 1 S23","21.028333","105.784692","","","0","","","","0","",""
"2220-05_1_S24","","Stop 05 1 S24","21.028966","105.780675","","","0","","","","0","",""
"2220-05_1_S25","","Stop 05 1 S25","21.029286","105.777965","","","0","","","","0","",""
"2220-05_1_S26","","Stop 05 1 S26","21.031279","105.774533","","","0","","","","0","",""
"2220-05_1_S27","","Stop 05 1 S27","21.033616","105.770576","","","0","","","","0","",""
"2220-05_1_S28","","Stop 05 1 S28","21.034666","105.766676","","","0","","","","0","",""
"2220-05_1_S30","","Stop 05 1 S30","21.046982","105.762926","","","0","","","","0","",""
"2220-05_1_S31","","Stop 05 1 S31","21.051266","105.763442","","","0","","","","0","",""
"2220-05_1_S32","","Stop 05 1 S32","21.054165","105.763709","","","0","","","","0","",""
"2220-05_1_S33","","Stop 05 1 S33","21.059515","105.764576","","","0","","","","0","",""
"2220-05_2_S2","","Stop 05 2 S2","21.054315","105.763726","","","0","","","","0","",""
"2220-05_2_S3","","Stop 05 2 S3","21.051716","105.763492","","","0","","","","0","",""
"2220-05_2_S4","","Stop 05 2 S4","21.047516","105.762609","","","0","","","","0","",""
"2220-05_2_S6","","Stop 05 2 S6","21.034349","105.766809","","","0","","","","0","",""
"2220-05_2_S10","","Stop 05 2 S10","21.028549","105.781592","","","0","","","","0","",""
"2220-05_2_S11","","Stop 05 2 S11","21.026699","105.787825","","","0","","","","0","",""
"2220-05_2_S12","","Stop 05 2 S12","21.022333","105.790508","","","0","","","","0","",""
"2220-05_2_S13","","Stop 05 2 S13","21.016316","105.794175","","","0","","","","0","",""
"2220-05_2_S14","","Stop 05 2 S14","21.013766","105.794308","","","0","","","","0","",""
"2220-05_2_S15","","Stop 05 2 S15","21.010933","105.793142","","","0","","","","0","",""
"2220-05_2_S16","","Stop 05 2 S16","21.006656","105.796721","","","0","","","","0","",""
"2220-05_2_S17","","Stop 05 2 S17","21.003486","105.799278","","","0","","","","0","",""
"2220-05_2_S32","","Stop 05 2 S32","20.963618","105.830341","","","0","","","","0","",""
"2220-06A_1_S10","","Stop 06a 1 S10","20.942535","105.843707","","","0","","","","0","",""
"2220-06A_1_S11","","Stop 06a 1 S11","20.939152","105.844124","","","0","","","","0","",""
"2220-06A_1_S12","","Stop 06a 1 S12","20.935552","105.845574","","","0","","","","0","",""
"2220-06A_1_S13","","Stop 06a 1 S13","20.932435","105.846807","","","0","","","","0","",""
"2220-06A_1_S14","","Stop 06a 1 S14","20.927052","105.849141","","","0","","","","0","",""
"2220-06A_1_S15","","Stop 06a 1 S15","20.923319","105.851441","","","0","","","","0","",""
"2220-06A_1_S16","","Stop 06a 1 S16","20.918917","105.852148","","","0","","","","0","",""
"2220-06A_1_S17","","Stop 06a 1 S17","20.912486","105.852224","","","0","","","","0","",""
"2220-06A_1_S18","","Stop 06a 1 S18","20.907769","105.85249","","","0","","","","0","",""
"2220-06A_1_S19","","Stop 06a 1 S19","20.903636","105.85294","","","0","","","","0","",""
"2220-06A_1_S20","","Stop 06a 1 S20","20.893803","105.855907","","","0","","","","0","",""
"2220-06A_1_S21","","Stop 06a 1 S21","20.888553","105.857574","","","0","","","","0","",""
"2220-06A_1_S22","","Stop 06a 1 S22","20.880187","105.86019","","","0","","","","0","",""
"2220-06A_1_S23","","Stop 06a 1 S23","20.874903","105.862874","","","0","","","","0","",""
"2220-06A_1_S24","","Stop 06a 1 S24","20.86917","105.865057","","","0","","","","0","",""
"2220-06A_1_S25","","Stop 06a 1 S25","20.863854","105.866857","","","0","","","","0","",""
"2220-06A_1_S26","","Stop 06a 1 S26","20.85427","105.870074","","","0","","","","0","",""
"2220-06A_1_S27","","Stop 06a 1 S27","20.843037","105.872624","","","0","","","","0","",""
"2220-06A_1_S28","","Stop 06a 1 S28","20.831004","105.87754","","","0","","","","0","",""
"2220-06A_1_S29","","Stop 06a 1 S29","20.823655","105.881707","","","0","","","","0","",""
"2220-06A_1_S30","","Stop 06a 1 S30","20.806655","105.883773","","","0","","","","0","",""
"2220-06A_1_S31","","Stop 06a 1 S31","20.797172","105.886606","","","0","","","","0","",""
"2220-06A_1_S32","","Stop 06a 1 S32","20.785972","105.892006","","","0","","","","0","",""
"2220-06A_1_S33","","Stop 06a 1 S33","20.773489","105.899023","","","0","","","","0","",""
"2220-06A_1_S34","","Stop 06a 1 S34","20.769406","105.903223","","","0","","","","0","",""
"2220-06A_1_S35","","Stop 06a 1 S35","20.762406","105.909223","","","0","","","","0","",""
"2220-06A_1_S36","","Stop 06a 1 S36","20.756211","105.911726","","","0","","","","0","",""
"2220-06A_1_S37","","Stop 06a 1 S37","20.74724","105.911339","","","0","","","","0","",""
"2220-06A_1_S38","","Stop 06a 1 S38","20.74154","105.913273","","","0","","","","0","",""
"2220-06A_1_S39","","Stop 06a 1 S39","20.73799","105.913306","","","0","","","","0","",""
"2220-06A_1_S40","","Stop 06a 1 S40","20.731274","105.912206","","","0","","","","0","",""
"2220-06A_1_S41","","Stop 06a 1 S41","20.720957","105.911339","","","0","","","","0","",""
"2220-06A_1_S42","","Stop 06a 1 S42","20.715841","105.910573","","","0","","","","0","",""
"2220-06A_1_S43","","Stop 06a 1 S43","20.708257","105.910406","","","0","","","","0","",""
"2220-06A_1_S44","","Stop 06a 1 S44","20.703291","105.910189","","","0","","","","0","",""
"2220-06A_1_S45","","Stop 06a 1 S45","20.696408","105.910306","","","0","","","","0","",""
"2220-06A_2_S10","","Stop 06a 2 S10","20.75324","105.911356","","","0","","","","0","",""
"2220-06A_2_S11","","Stop 06a 2 S11","20.763023","105.908756","","","0","","","","0","",""
"2220-06A_2_S12","","Stop 06a 2 S12","20.769306","105.903473","","","0","","","","0","",""
"2220-06A_2_S13","","Stop 06a 2 S13","20.773989","105.898673","","","0","","","","0","",""
"2220-06A_2_S14","","Stop 06a 2 S14","20.785656","105.892223","","","0","","","","0","",""
"2220-06A_2_S15","","Stop 06a 2 S15","20.796605","105.88694","","","0","","","","0","",""
"2220-06A_2_S16","","Stop 06a 2 S16","20.806372","105.883823","","","0","","","","0","",""
"2220-06A_2_S17","","Stop 06a 2 S17","20.823138","105.88209","","","0","","","","0","",""
"2220-06A_2_S18","","Stop 06a 2 S18","20.830371","105.877973","","","0","","","","0","",""
"2220-06A_2_S19","","Stop 06a 2 S19","20.842871","105.87274","","","0","","","","0","",""
"2220-06A_2_S20","","Stop 06a 2 S20","20.85402","105.87019","","","0","","","","0","",""
"2220-06A_2_S21","","Stop 06a 2 S21","20.864804","105.866674","","","0","","","","0","",""
"2220-06A_2_S22","","Stop 06a 2 S22","20.87072","105.864724","","","0","","","","0","",""
"2220-06A_2_S23","","Stop 06a 2 S23","20.87647","105.862357","","","0","","","","0","",""
"2220-06A_2_S24","","Stop 06a 2 S24","20.879553","105.860657","","","0","","","","0","",""
"2220-06A_2_S25","","Stop 06a 2 S25","20.887236","105.858057","","","0","","","","0","",""
"2220-06A_2_S26","","Stop 06a 2 S26","20.894286","105.855824","","","0","","","","0","",""
"2220-06A_2_S27","","Stop 06a 2 S27","20.902236","105.853474","","","0","","","","0","",""
"2220-06A_2_S28","","Stop 06a 2 S28","20.907802","105.852574","","","0","","","","0","",""
"2220-06A_2_S29","","Stop 06a 2 S29","20.911486","105.85239","","","0","","","","0","",""
"2220-06A_2_S30","","Stop 06a 2 S30","20.918852","105.852257","","","0","","","","0","",""
"2220-06A_2_S31","","Stop 06a 2 S31","20.923185","105.85159","","","0","","","","0","",""
"2220-06A_2_S32","","Stop 06a 2 S32","20.926969","105.849407","","","0","","","","0","",""
"2220-06A_2_S33","","Stop 06a 2 S33","20.93219","105.847149","","","0","","","","0","",""
"2220-06A_2_S34","","Stop 06a 2 S34","20.935702","105.845791","","","0","","","","0","",""
"2220-06A_2_S35","","Stop 06a 2 S35","20.939335","105.844341","","","0","","","","0","",""
"2220-06A_2_S36","","Stop 06a 2 S36","20.944402","105.844407","","","0","","","","0","",""
"2220-06A_2_S37","","Stop 06a 2 S37","20.947252","105.844307","","","0","","","","0","",""
"2220-06A_2_S38","","Stop 06a 2 S38","20.951879","105.843979","","","0","","","","0","",""
"2220-06A_2_S39","","Stop 06a 2 S39","20.955851","105.843224","","","0","","","","0","",""
"2220-06A_2_S40","","Stop 06a 2 S40","20.958151","105.842757","","","0","","","","0","",""
"2220-06A_2_S41","","Stop 06a 2 S41","20.965018","105.841957","","","0","","","","0","",""
"2220-06A_2_S42","","Stop 06a 2 S42","20.971297","105.841121","","","0","","","","0","",""
"2220-06A_2_S43","","Stop 06a 2 S43","20.980201","105.841458","","","0","","","","0","",""
"2220-06B_1_S24","","Stop 06b 1 S24","20.87187","105.869124","","","0","","","","0","",""
"2220-06B_1_S25","","Stop 06b 1 S25","20.87112","105.87484","","","0","","","","0","",""
"2220-06B_1_S26","","Stop 06b 1 S26","20.869403","105.884006","","","0","","","","0","",""
"2220-06B_1_S27","","Stop 06b 1 S27","20.86717","105.89304","","","0","","","","0","",""
"2220-06B_1_S28","","Stop 06b 1 S28","20.868654","105.903439","","","0","","","","0","",""
"2220-06B_1_S29","","Stop 06b 1 S29","20.86742","105.912389","","","0","","","","0","",""
"2220-06B_2_S2","","Stop 06b 2 S2","20.86842","105.901256","","","0","","","","0","",""
"2220-06B_2_S3","","Stop 06b 2 S3","20.867287","105.893323","","","0","","","","0","",""
"2220-06B_2_S4","","Stop 06b 2 S4","20.869453","105.88429","","","0","","","","0","",""
"2220-06B_2_S5","","Stop 06b 2 S5","20.87142","105.873457","","","0","","","","0","",""
"2220-06B_2_S6","","Stop 06b 2 S6","20.872087","105.868374","","","0","","","","0","",""
"2220-06B_2_S27","","Stop 06b 2 S27","20.980101","105.841758","","","0","","","","0","",""
"2220-06C_1_S34","","Stop 06c 1 S34","20.771556","105.904673","","","0","","","","0","",""
"2220-06C_1_S35","","Stop 06c 1 S35","20.774756","105.911756","","","0","","","","0","",""
"2220-06C_1_S36","","Stop 06c 1 S36","20.781293","105.91644","","","0","","","","0","",""
"2220-06C_1_S37","","Stop 06c 1 S37","20.785672","105.919122","","","0","","","","0","",""
"2220-06C_2_S2","","Stop 06c 2 S2","20.781406","105.916356","","","0","","","","0","",""
"2220-06C_2_S3","","Stop 06c 2 S3","20.774689","105.911456","","","0","","","","0","",""
"2220-06C_2_S4","","Stop 06c 2 S4","20.771589","105.904456","","","0","","","","0","",""
"2220-06D_1_S38","","Stop 06d 1 S38","20.742673","105.906473","","","0","","","","0","",""
"2220-06D_1_S39","","Stop 06d 1 S39","20.746307","105.898006","","","0","","","","0","",""
"2220-06D_1_S40","","Stop 06d 1 S40","20.74304","105.88999","","","0","","","","0","",""
"2220-06D_1_S41","","Stop 06d 1 S41","20.74249","105.88574","","","0","","","","0","",""
"2220-06D_1_S42","","Stop 06d 1 S42","20.742307","105.879657","","","0","","","","0","",""
"2220-06D_1_S43","","Stop 06d 1 S43","20.740973","105.875457","","","0","","","","0","",""
"2220-06D_2_S2","","Stop 06d 2 S2","20.742173","105.88014","","","0","","","","0","",""
"2220-06D_2_S3","","Stop 06d 2 S3","20.742073","105.885607","","","0","","","","0","",""
"2220-06D_2_S4","","Stop 06d 2 S4","20.742657","105.889723","","","0","","","","0","",""
"2220-06D_2_S5","","Stop 06d 2 S5","20.746323","105.89779","","","0","","","","0","",""
"2220-06D_2_S6","","Stop 06d 2 S6","20.742557","105.906223","","","0","","","","0","",""
"2220-06D_2_S7","","Stop 06d 2 S7","20.745607","105.910123","","","0","","","","0","",""
"2220-06E_1_S31","","Stop 06e 1 S31","20.804005","105.881573","","","0","","","","0","",""
"2220-06E_1_S32","","Stop 06e 1 S32","20.800772","105.860008","","","0","","","","0","",""
"2220-06E_1_S33","","Stop 06e 1 S33","20.798255","105.846807","","","0","","","","0","",""
"2220-06E_1_S34","","Stop 06e 1 S34","20.794972","105.839224","","","0","","","","0","",""
"2220-06E_1_S35","","Stop 06e 1 S35","20.794922","105.829491","","","0","","","","0","",""
"2220-06E_1_S36","","Stop 06e 1 S36","20.792255","105.822125","","","0","","","","0","",""
"2220-06E_1_S37","","Stop 06e 1 S37","20.790439","105.816375","","","0","","","","0","",""
"2220-06E_1_S38","","Stop 06e 1 S38","20.783422","105.808375","","","0","","","","0","",""
"2220-06E_1_S39","","Stop 06e 1 S39","20.780056","105.806758","","","0","","","","0","",""
"2220-06E_1_S40","","Stop 06e 1 S40","20.770173","105.809008","","","0","","","","0","",""
"2220-06E_1_S41","","Stop 06e 1 S41","20.766039","105.810258","","","0","","","","0","",""
"2220-06E_1_S42","","Stop 06e 1 S42","20.759389","105.812375","","","0","","","","0","",""
"2220-06E_2_S2","","Stop 06e 2 S2","20.766356","105.810158","","","0","","","","0","",""
"2220-06E_2_S3","","Stop 06e 2 S3","20.769823","105.809125","","","0","","","","0","",""
"2220-06E_2_S4","","Stop 06e 2 S4","20.780039","105.806942","","","0","","","","0","",""
"2220-06E_2_S5","","Stop 06e 2 S5","20.782839","105.808158","","","0","","","","0","",""
"2220-06E_2_S6","","Stop 06e 2 S6","20.790372","105.816875","","","0","","","","0","",""
"2220-06E_2_S7","","Stop 06e 2 S7","20.791872","105.821758","","","0","","","","0","",""
"2220-06E_2_S8","","Stop 06e 2 S8","20.794889","105.830091","","","0","","","","0","",""
"2220-06E_2_S9","","Stop 06e 2 S9","20.794955","105.838258","","","0","","","","0","",""
"2220-06E_2_S10","","Stop 06e 2 S10","20.797972","105.846341","","","0","","","","0","",""
"2220-06E_2_S11","","Stop 06e 2 S11","20.801238","105.86039","","","0","","","","0","",""
"2220-06E_2_S12","","Stop 06e 2 S12","20.804122","105.882023","","","0","","","","0","",""
"2220-07_1_S4","","Stop 07 1 S4","21.037133","105.797825","","","0","","","","0","",""
"2220-07_1_S26","","Stop 07 1 S26","21.218945","105.781758","","","0","","","","0","",""
"2220-07_1_S27","","Stop 07 1 S27","21.214695","105.796158","","","0","","","","0","",""
